,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,1124749,28490.0,18095,90150.0,98049,129795,24277,105517,12527.0,88935,13269.0,43228.0,266629,42864,223765,162883.0,43933,103938.0,15013.0,103506.0,,,38003.0,7002.0,31001,31190
2015,1155522,24097.0,13225,,108641,152999,26683,126316,,94130,13487.0,52485.0,266891,43773,223118,162999.0,43872,,,108557.0,,,40551.0,6653.0,33897,33360
2016,1203119,18361.0,17473,,74375,173167,22504,150663,,95193,13455.0,59862.0,261014,42373,218641,161965.0,35263,,,116635.0,,,44319.0,6777.0,37542,34171
2017,1302975,15815.0,24359,,72629,204262,27248,177014,,100588,14655.0,60952.0,294760,42830,251931,172837.0,37502,,,124502.0,,,50611.0,6596.0,44015,35506
2018,1339277,19068.0,29366,,102829,196017,28329,167688,,104822,15177.0,59313.0,300432,46789,253643,180776.0,40532,,,131324.0,,,53851.0,7345.0,46507,37609
2019,1416010,16672.0,50357,,99735,212197,29803,182394,,109289,14860.0,55995.0,311952,44777,267175,187162.0,42585,,,140731.0,,,55948.0,8103.0,47845,38320
2020,1379676,15522.0,69021,,73608,195816,28818,166998,,110558,11503.0,55874.0,317665,44155,273509,191607.0,37922,,,145157.0,,,46881.0,7618.0,39263,35991
2021,1472388,18038.0,88894,,85705,213112,33693,179419,9163.0,120797,13331.0,,325519,46762,278757,204192.0,40991,,,151109.0,,,64550.0,11050.0,53499,39886
2006,1048587,7942.0,35856,108995.0,79016,57305,24221,33084,12542.0,254989,,30729.0,186609,35250,151359,,32162,,,75942.0,577.0,75365.0,34049.0,6244.0,27805,36270
2007,1020633,,32477,66603.0,72252,54651,23405,31246,11705.0,238016,,32562.0,220742,32643,188099,122785.0,31190,75344.0,16251.0,80056.0,564.0,79492.0,34153.0,8808.0,25346,33478
2008,1007051,,28810,70805.0,60568,54083,23245,30838,11216.0,205103,,30639.0,239628,31282,208346,136514.0,45797,76218.0,14499.0,84862.0,558.0,84304.0,34373.0,7949.0,26424,30015
2009,1020322,,32534,,63168,55515,19185,36331,,168039,10027.0,26004.0,239677,37446,202231,148033.0,43523,87859.0,16651.0,91492.0,263.0,91229.0,31581.0,7186.0,24395,30048
2010,1031939,8455.0,26833,,79128,61362,21136,40226,,136898,9944.0,27700.0,260520,40427,220093,144411.0,41909,,,95745.0,,,30741.0,7254.0,23486,29958
2011,1048722,,27429,,65787,76301,22349,53952,,107948,10783.0,27061.0,254913,42105,212808,158366.0,49294,93610.0,15461.0,98689.0,1453.0,97235.0,30007.0,6556.0,23451,29859
2012,1015060,,32841,,55440,88967,24855,64112,,85161,12389.0,30077.0,255503,39411,216092,154828.0,46497,93689.0,14641.0,96758.0,1636.0,95122.0,30468.0,6281.0,24188,27476
2013,1085940,30800.0,27281,101300.0,61940,117342,26512,90829,16204.0,87441,17198.0,37560.0,258856,37376,221480,168198.0,43400,,,98334.0,,,34385.0,6142.0,28243,29101
2001,734937,,6240,44179.0,51067,56677,24055,32622,17455.0,180943,,21808.0,169040,28914,140127,59434.0,26121,2087.0,31225.0,52937.0,425.0,52512.0,26665.0,3946.0,22719,29778
2002,867323,11013.0,8215,93319.0,57714,54353,25348,29005,18801.0,215776,,19953.0,189494,34275,155219,68815.0,27381,2110.0,39324.0,58464.0,,,,,23686,34200
2003,970757,11149.0,16040,92102.0,61799,58953,26410,32543,17452.0,242146,,20115.0,197591,38751,158840,119105.0,24256,79351.0,15499.0,64813.0,,,,,23603,32327
2004,1016664,,29124,79835.0,69209,60030,25424,34606,14191.0,257544,,24786.0,192395,31832,160563,125091.0,28080,80688.0,16324.0,64171.0,575.0,63597.0,33848.0,5265.0,28583,32763
2005,1031830,12823.0,26653,97242.0,72690,55965,24076,31889,13081.0,254627,,28528.0,201547,30767,170780,118248.0,29231,74211.0,14807.0,,,,33714.0,6333.0,27382,34662
