,Private industries,"Agriculture, forestry, fishing, and hunting",Mining,Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"Professional, scientific, and technical services",Management of companies and enterprises,Administrative and waste management services,"Educational services, health care, and social assistance",Educational services,Health care and social assistance,"Arts, entertainment, recreation, accommodation, and food services","Arts, entertainment, and recreation",Accommodation and food services,"Other services, except government"
2014,7990550,,33188,,399851,791236,394981,396255,,598571,534415,235061,1704084,240881,1463204,952643,561368,211080,180195,631336,41398,589938,258616,39707,218909,217385
2015,8683976,,28002,,506647,928478,471312,457166,,624124,573855,257864,1779067,238213,1540854,1002065,561310,240425,200331,666360,39495,626865,298387,47014,251373,219453
2016,9100324,,17090,,541231,1059836,483925,575911,,641877,586161,265374,1809250,223247,1586003,1087492,538225,265900,283367,702611,43311,659300,319502,50205,269297,231152
2017,9417166,,26137,,542436,1231552,534733,696819,,652392,612207,278206,1804513,233332,1571181,1121094,530713,283760,306622,740521,46491,694030,338982,57414,281568,226177
2018,9872458,,31198,,576005,1324420,630033,694386,,681808,659670,281120,1905699,251289,1654410,1168767,590371,270109,308287,770120,47719,722401,346863,60593,286270,244196
2019,10726254,,34721,,853140,1520703,786109,734594,,704429,708231,272587,2149920,244946,1904975,1230616,614816,288565,327235,837724,48962,788762,358230,62533,295697,249653
2020,10954427,,36399,,853632,1519993,710946,809047,,757136,780094,260000,2294862,246263,2048599,1306906,621438,327083,358386,855447,42003,813444,266589,36753,229836,235682
2021,11879509,367770.0,41946,176308.0,864330,1573286,694710,878576,1405880.0,848136,894807,279360,2459344,252537,2206807,1418976,702701,319366,396910,914583,45917,868665,370871,59339,311532,263911
2006,6555844,,73781,,564560,718864,350738,368127,,547993,587646,184035,1327388,195556,1131832,701574,402511,159989,139074,409015,26336,382678,205852,39758,166094,198052
2007,7089472,,72140,,607809,783960,354182,429778,,485595,584408,231231,1473207,222690,1250518,800709,444394,187897,168418,445491,32624,412867,200311,36837,163474,207932
2008,7175673,,80403,,479064,725108,326930,398178,,487194,572376,233415,1501946,202129,1299817,832542,482662,190621,159258,502670,34308,468362,230119,35537,194582,203512
2009,6940226,,42468,,380258,659320,260548,398772,,477986,515635,214656,1675975,220434,1455541,820413,479239,183960,157214,533406,31188,502218,224421,36875,187546,196821
2010,6818966,,31594,,321553,593808,245093,348715,,512333,503819,235885,1783581,220682,1562899,810004,467953,188290,153761,545824,33205,512619,221488,34892,186597,192939
2011,7118090,,35512,,390954,570175,279195,290980,,532825,509000,235143,1703424,233810,1469614,887855,533585,186108,168161,553339,37209,516130,224087,37039,187048,192835
2012,7294197,,24914,,343083,657702,287775,369927,,551065,482176,232672,1698526,245755,1452771,904930,553432,172403,179095,583245,38590,544655,230950,34422,196528,199449
2013,7669546,,30570,,379538,662281,311452,350830,,583498,498247,250637,1696424,242250,1454174,913814,541628,215595,156591,605107,38819,566288,242063,39804,202259,203461
2001,5181614,,59984,,389610,517190,262774,254415,,488930,450086,104644,1043582,172491,871091,697250,290642,275574,131034,262498,24520,237979,180725,25183,155542,152823
2002,5351993,,49312,,364259,510316,258051,252265,,484653,460235,113404,1129893,185574,944319,693239,331997,275064,86178,292706,26280,266426,195710,27447,168263,168907
2003,5559348,,50414,,410858,593368,278732,314636,,454566,464431,120359,1151941,180997,970944,712554,353069,257640,101845,308812,26997,281816,218329,33248,185081,169402
2004,5931720,,58932,,499734,626315,287223,339092,,495374,527395,154282,1164002,143317,1020685,688331,370708,205312,112311,357991,28313,329678,218235,35349,182885,177265
2005,6264969,,65431,,611372,682892,336520,346372,,516437,572978,168175,1274874,151712,1123162,711071,396458,188401,126212,379729,26179,353550,206620,39049,167571,184648
